Result Date,Numbers,Bonus Number,Prize,Rollover
2013-Dec-13 Friday,"['6', '16', '24', '32', '36', '45', '47']",25,"50,000,000",True
2013-Dec-06 Friday,"['3', '4', '11', '18', '37', '42', '44']",47,"50,000,000",True
2013-Nov-29 Friday,"['3', '6', '19', '31', '34', '42', '45']",30,"50,000,000",True
2013-Nov-22 Friday,"['2', '24', '35', '38', '39', '41', '48']",20,"50,000,000",True
2013-Nov-15 Friday,"['1', '3', '10', '15', '25', '28', '31']",7,"32,000,000",True
2013-Nov-08 Friday,"['7', '8', '10', '15', '24', '26', '41']",12,"27,000,000",True
2013-Nov-01 Friday,"['11', '12', '16', '22', '30', '32', '49']",35,"50,000,000",False
2013-Oct-25 Friday,"['13', '16', '24', '29', '33', '40', '49']",28,"50,000,000",True
2013-Oct-18 Friday,"['10', '26', '28', '33', '34', '35', '40']",12,"50,000,000",True
2013-Oct-11 Friday,"['7', '8', '9', '16', '21', '28', '48']",29,"30,000,000",True
2013-Oct-04 Friday,"['12', '16', '19', '20', '28', '34', '42']",9,"20,000,000",True
2013-Sep-27 Friday,"['10', '11', '18', '24', '26', '42', '47']",45,"15,000,000",True
2013-Sep-20 Friday,"['2', '14', '15', '24', '40', '43', '44']",45,"10,000,000",True
2013-Sep-13 Friday,"['2', '6', '12', '15', '16', '22', '49']",46,"15,000,000",False
2013-Sep-06 Friday,"['1', '7', '23', '36', '37', '39', '41']",33,"10,000,000",True
2013-Aug-30 Friday,"['6', '19', '20', '25', '31', '35', '36']",45,"30,000,000",False
2013-Aug-23 Friday,"['5', '6', '10', '17', '22', '36', '48']",3,"20,961,383.30",True
2013-Aug-16 Friday,"['2', '6', '20', '22', '30', '34', '49']",45,"15,000,000",True
2013-Aug-09 Friday,"['6', '15', '19', '26', '43', '44', '49']",30,"10,000,000",True
2013-Aug-02 Friday,"['2', '9', '23', '29', '30', '34', '43']",40,"30,350,652.50",False
2013-Jul-26 Friday,"['5', '9', '12', '18', '24', '35', '42']",17,"22,000,000",True
2013-Jul-19 Friday,"['3', '17', '19', '20', '34', '35', '43']",4,"17,000,000",True
2013-Jul-12 Friday,"['14', '16', '17', '36', '45', '46', '48']",7,"12,000,000",True
2013-Jul-05 Friday,"['5', '12', '15', '39', '44', '46', '49']",18,"50,000,000",False
2013-Jun-28 Friday,"['2', '7', '15', '38', '43', '44', '47']",1,"40,000,000",True
2013-Jun-21 Friday,"['2', '9', '12', '13', '27', '28', '36']",20,"30,000,000",True
2013-Jun-14 Friday,"['2', '12', '15', '18', '21', '22', '25']",5,"20,000,000",True
2013-Jun-07 Friday,"['5', '19', '24', '34', '35', '38', '43']",8,"11,000,000",True
2013-May-31 Friday,"['5', '7', '10', '15', '22', '45', '47']",23,"50,000,000",False
2013-May-24 Friday,"['9', '19', '21', '24', '39', '43', '48']",6,"30,000,000",True
2013-May-17 Friday,"['8', '18', '21', '27', '33', '46', '49']",26,"20,000,000",True
2013-May-10 Friday,"['3', '10', '19', '21', '27', '35', '36']",49,"10,000,000",True
2013-May-03 Friday,"['4', '6', '21', '26', '30', '34', '35']",39,"40,000,000",False
2013-Apr-26 Friday,"['10', '13', '15', '18', '25', '36', '47']",40,"30,000,000",True
2013-Apr-19 Friday,"['2', '3', '8', '20', '28', '31', '34']",42,"20,000,000",True
2013-Apr-12 Friday,"['3', '6', '37', '40', '42', '44', '48']",18,"10,000,000",True
2013-Apr-05 Friday,"['2', '14', '15', '17', '24', '38', '40']",31,"40,000,000",False
2013-Mar-29 Friday,"['8', '11', '12', '13', '22', '33', '47']",7,"30,000,000",True
2013-Mar-22 Friday,"['7', '12', '16', '19', '21', '24', '47']",34,"20,000,000",True
2013-Mar-15 Friday,"['9', '16', '17', '19', '22', '41', '43']",12,"10,000,000",True
2013-Mar-08 Friday,"['9', '15', '17', '28', '35', '39', '41']",36,"30,000,000",False
2013-Mar-01 Friday,"['1', '2', '5', '6', '38', '39', '46']",33,"20,000,000",True
2013-Feb-22 Friday,"['5', '12', '24', '31', '39', '45', '49']",35,"10,000,000",True
2013-Feb-15 Friday,"['14', '23', '24', '25', '28', '41', '45']",37,"30,000,000",False
2013-Feb-08 Friday,"['3', '8', '13', '30', '38', '45', '47']",10,"20,000,000",True
2013-Feb-01 Friday,"['5', '9', '10', '32', '37', '44', '46']",38,"10,000,000",True
2013-Jan-25 Friday,"['1', '18', '19', '29', '31', '32', '46']",36,"30,000,000",False
2013-Jan-18 Friday,"['8', '16', '17', '28', '32', '34', '47']",19,"20,000,000",True
2013-Jan-11 Friday,"['2', '25', '26', '37', '39', '48', '49']",40,"10,000,000",True
2013-Jan-04 Friday,"['3', '6', '16', '23', '27', '28', '34']",22,"20,000,000",False
2014-Dec-26 Friday,"['15', '20', '29', '39', '40', '43', '46']",12,"30,000,000",True
2014-Dec-19 Friday,"['3', '6', '13', '17', '22', '25', '43']",47,"21,464,570.10",True
2014-Dec-12 Friday,"['2', '14', '30', '34', '38', '47', '48']",16,"16,000,000",True
2014-Dec-05 Friday,"['10', '14', '15', '16', '42', '45', '48']",49,"11,000,000",True
2014-Nov-28 Friday,"['3', '4', '7', '12', '17', '26', '34']",1,"50,000,000",False
2014-Nov-21 Friday,"['6', '18', '19', '26', '37', '39', '47']",21,"30,000,000",True
2014-Nov-14 Friday,"['2', '5', '7', '13', '15', '30', '38']",27,"20,000,000",True
2014-Nov-07 Friday,"['1', '3', '6', '8', '14', '20', '30']",28,"15,000,000",True
2014-Oct-31 Friday,"['3', '12', '25', '30', '42', '44', '45']",26,"10,000,000",True
2014-Oct-24 Friday,"['8', '27', '30', '32', '34', '35', '42']",17,"15,000,000",False
2014-Oct-17 Friday,"['18', '19', '32', '36', '38', '40', '43']",1,"10,000,000",True
2014-Oct-10 Friday,"['5', '13', '18', '28', '31', '38', '44']",46,"30,818,285.80",False
2014-Oct-03 Friday,"['7', '15', '24', '25', '27', '43', '47']",22,"22,282,941.30",True
2014-Sep-26 Friday,"['2', '3', '5', '18', '37', '38', '46']",33,"15,000,000",True
2014-Sep-19 Friday,"['4', '7', '8', '10', '16', '20', '36']",27,"10,000,000",True
2014-Sep-12 Friday,"['5', '6', '8', '13', '24', '37', '46']",30,"14,000,000",False
2014-Sep-05 Friday,"['3', '8', '11', '20', '28', '36', '38']",26,"50,000,000",False
2014-Aug-29 Friday,"['1', '23', '26', '33', '35', '38', '42']",18,"50,000,000",True
2014-Aug-22 Friday,"['13', '16', '22', '26', '35', '36', '39']",44,"30,000,000",True
2014-Aug-15 Friday,"['9', '16', '17', '27', '32', '38', '47']",37,"20,464,313.80",True
2014-Aug-08 Friday,"['6', '9', '16', '19', '20', '24', '30']",31,"15,000,000",True
2014-Aug-01 Friday,"['1', '2', '5', '10', '11', '25', '34']",36,"10,000,000",True
2014-Jul-25 Friday,"['7', '9', '24', '30', '35', '42', '43']",36,"20,609,032",False
2014-Jul-18 Friday,"['1', '3', '16', '33', '34', '40', '42']",2,"15,000,000",True
2014-Jul-11 Friday,"['1', '6', '10', '16', '18', '21', '31']",5,"10,000,000",True
2014-Jul-04 Friday,"['5', '10', '11', '20', '26', '38', '46']",44,"30,000,000",False
2014-Jun-27 Friday,"['4', '6', '7', '16', '18', '40', '46']",34,"21,466,878.40",True
2014-Jun-20 Friday,"['12', '17', '32', '36', '43', '44', '49']",4,"15,000,000",True
2014-Jun-13 Friday,"['12', '16', '24', '29', '36', '40', '47']",44,"10,000,000",True
2014-Jun-06 Friday,"['3', '5', '17', '30', '36', '47', '49']",31,"32,685,302.80",False
2014-May-30 Friday,"['2', '5', '10', '11', '23', '25', '31']",46,"24,019,719.70",True
